City,Count
Poway ,5
Minneapolis ,2
Australia,8
Parkland ,4
Charlotte ,3
Los Angeles ,4
Central Park ,1
Sacramento ,2
Christchurch ,9
Aurora ,2
Brazil,1
Broward County ,2
Florida,4
Kentucky,1
East Pittsburgh ,1
Pittsburgh ,1
Netherlands,2
Utrecht ,4
Monticello ,1
Indiana,1
California,3
Hoover ,1
New Zealand,8
Orlando ,1
Manatee County ,1
SEBRING ,3
Queens ,1
Peru,1
Houston ,2
Torrance ,1
British Columbia ,1
West Palm Beach ,1
Palm Beach Gardens ,1
Columbine ,1
Topeka ,1
Bronx ,1
Chicago ,2
Canada,1
Germany,1
Great Britain,1
Hamden ,1
New Haven ,1
NEW HOPE ,1
Pennsylvania,1
Bucks County ,1
St Louis ,1
United States,1
India,1
China,1
Pakistan,1
